System time;Event;X Gaze Data; Y Gaze Data 
1587052500031;Gaze;7447;1942
1587052500042;Gaze;7446;1942
1587052500054;Gaze;7445;1938
1587052500065;Gaze;7444;1938
1587052500076;Gaze;7450;1935
1587052500087;Gaze;7452;1933
1587052500099;Gaze;7453;1933
1587052500108;Gaze;7454;1931
1587052500120;Gaze;7451;1932
1587052500131;Gaze;7438;1947
1587052500141;Gaze;7440;1945
1587052500151;Gaze;7441;1942
1587052500263;Gaze;7265;2347
1587052500274;Gaze;7265;2347
1587052500275;Gaze;7265;2347
1587052500286;Gaze;7267;2345
1587052500298;Gaze;7350;2256
1587052500309;Gaze;7414;2173
1587052500320;Gaze;7432;2143
1587052500331;Gaze;7467;1988
1587052500343;Gaze;7467;1992
1587052500353;Gaze;7476;1949
1587052500365;Gaze;7478;1943
1587052500376;Gaze;7480;1935
1587052500386;Gaze;7477;1938
1587052500398;Gaze;7476;1938
1587052500409;Gaze;7476;1934
1587052500420;Gaze;7475;1931
1587052500432;Gaze;7474;1933
1587052500442;Gaze;7475;1933
1587052500453;Gaze;7475;1935
1587052500465;Gaze;7476;1938
1587052500476;Gaze;7477;1941
1587052500486;Gaze;7475;1949
1587052500498;Gaze;7475;1950
1587052500509;Gaze;7475;1950
1587052500520;Gaze;7471;1956
1587052500531;Gaze;7470;1957
1587052500542;Gaze;7471;1957
1587052500553;Gaze;7472;1957
1587052500564;Gaze;7471;1955
1587052500576;Gaze;7469;1952
1587052500586;Gaze;7458;1952
1587052500598;Gaze;7449;1951
1587052500609;Gaze;7445;1950
1587052500619;Gaze;7421;1933
1587052500631;Gaze;7418;1928
1587052500642;Gaze;7417;1928
1587052500653;Gaze;7414;1930
1587052500664;Gaze;7412;1931
1587052500676;Gaze;7409;1932
1587052500688;Gaze;7410;1931
1587052500697;Gaze;7414;1929
1587052500709;Gaze;7414;1929
1587052500719;Gaze;7416;1929
1587052500731;Gaze;7420;1929
1587052500742;Gaze;7424;1928
1587052500754;Gaze;7428;1927
1587052500764;Gaze;7434;1926
1587052500776;Gaze;7433;1928
1587052500786;Gaze;7434;1927
1587052500798;Gaze;7447;1933
1587052500809;Gaze;7448;1934
1587052500810;Gaze;7447;1936
1587052500820;Gaze;7444;1938
1587052500831;Gaze;7442;1937
1587052500842;Gaze;7442;1938
1587052500852;Gaze;7442;1938
1587052500864;Gaze;7441;1939
1587052500875;Gaze;7440;1940
1587052500886;Gaze;7440;1939
1587052500897;Gaze;7436;1939
1587052500908;Gaze;7435;1937
1587052500919;Gaze;7429;1928
1587052500930;Gaze;7427;1927
1587052500941;Gaze;7425;1927
1587052500952;Gaze;7425;1927
1587052500964;Gaze;7426;1927
1587052500975;Gaze;7430;1931
1587052500986;Gaze;7433;1933
1587052500998;Gaze;7433;1933
1587052501009;Gaze;7434;1936
1587052501019;Gaze;7434;1944
1587052501031;Gaze;7469;1946
1587052501042;Gaze;7469;1948
1587052501053;Gaze;7484;1950
1587052501064;Gaze;7488;1950
1587052501075;Gaze;7500;1944
1587052501086;Gaze;7501;1944
1587052501098;Gaze;7505;1944
1587052501109;Gaze;7506;1944
1587052501119;Gaze;7507;1945
1587052501131;Gaze;7506;1947
1587052501132;Gaze;7506;1947
1587052501142;Gaze;7506;1951
1587052501153;Gaze;7507;1951
1587052501164;Gaze;7505;1949
1587052501175;Gaze;7501;1945
1587052501185;Gaze;7498;1942
1587052501197;Gaze;7497;1941
1587052501208;Gaze;7497;1941
1587052501219;Gaze;7498;1941
1587052501230;Gaze;7499;1941
1587052501243;Gaze;7499;1939
1587052501253;Gaze;7501;1940
