System Fixation time;Fixation Event;X Fixation Data; Y Fixation Data 
1587052498209;Fixation data;7475;2292
1587052498219;Fixation end;;
1587052498333;Fixation begin;7575;2199
1587052498344;Fixation data;7570;2201
1587052498355;Fixation end;;
1587052498366;Fixation begin;7751;2073
1587052498378;Fixation begin;7749;2074
1587052498388;Fixation data;7746;2077
1587052498400;Fixation data;7746;2084
1587052498410;Fixation begin;7746;2094
1587052498421;Fixation data;7750;2090
1587052498444;Fixation begin;7767;2079
1587052498454;Fixation data;7763;2080
1587052498466;Fixation begin;7752;2081
1587052498477;Fixation data;7752;2081
1587052498488;Fixation data;7758;2083
1587052498499;Fixation data;7770;2087
1587052498510;Fixation begin;7790;2083
1587052498520;Fixation end;;
1587052498533;Fixation begin;7651;2063
1587052498544;Fixation data;7624;2058
1587052498554;Fixation end;;
1587052498566;Fixation begin;7323;1922
1587052498578;Fixation data;7288;1930
1587052498588;Fixation data;7266;1944
1587052498600;Fixation end;;
1587052498621;Fixation begin;7329;2005
1587052498633;Fixation data;7332;2007
1587052498644;Fixation data;7337;2002
1587052498654;Fixation data;7341;2001
1587052498666;Fixation data;7342;2002
1587052498677;Fixation end;;
1587052498688;Fixation begin;7226;2085
1587052498699;Fixation data;7227;2086
1587052498711;Fixation end;;
1587052498744;Fixation begin;7215;1898
1587052498755;Fixation data;7224;1907
1587052498766;Fixation end;;
1587052498777;Fixation begin;7298;1983
1587052498787;Fixation data;7267;1954
1587052498799;Fixation data;7244;1932
1587052498810;Fixation data;7242;1917
1587052498821;Fixation data;7241;1908
1587052498833;Fixation data;7241;1905
1587052498844;Fixation data;7240;1908
1587052498844;Fixation data;7239;1910
1587052498854;Fixation end;;
1587052498866;Fixation begin;7326;1918
1587052498877;Fixation data;7333;1914
1587052498888;Fixation data;7341;1913
1587052498899;Fixation data;7348;1917
1587052498910;Fixation data;7357;1922
1587052498921;Fixation data;7362;1930
1587052498922;Fixation end;;
1587052498933;Fixation begin;7372;1942
1587052498944;Fixation data;7371;1945
1587052498954;Fixation data;7370;1947
1587052498967;Fixation data;7367;1947
1587052498978;Fixation data;7372;1937
